"name","statefp","region"
"Alabama","01",5
"Alaska","02",13
"Arizona","04",1
"Arkansas","05",4
"California","06",1
"Colorado","08",3
"Connecticut","09",9
"Deleware","10",8
"District of Columbia","11",7
"Florida","12",5
"Georgia","13",5
"Hawaii","15",11
"Idaho","16",2
"Illinois","17",7
"Indiana","18",7
"Iowa","19",6
"Kansas","20",6
"Kentucky","21",7
"Louisiana","22",4
"Maine","23",9
"Maryland","24",7
"Massachussets","25",9
"Michigan","26",12
"Minnesota","27",6
"Mississippi","28",4
"Missouri","29",7
"Montana","30",2
"Nebraska","31",6
"Nevada","32",1
"New Hampshire","33",8
"New Jersey","34",10
"New Mexico","35",3
"New York","36",8
"North Carolina","37",4
"North Dakota","38",6
"Ohio","39",7
"Oklahoma","40",4
"Oregon","41",2
"Pennsylvania","42",10
"Rhode Island","44",9
"South Carolina","45",5
"South Dakota","46",6
"Tennessee","47",4
"Texas","48",4
"Utah","49",3
"Vermont","50",8
"Virginia","51",7
"Washington","53",2
"West Virginia","54",7
"Wisconsin","55",6
"Wyoming","56",3
