state	lang1_p	lang2_p	lang3_p	lang4_p	lang5_p	lang6_p	lang7_p	lang1_n	lang2_n	lang3_n	lang4_n	lang5_n	lang6_n	lang7_n	lang1_code	lang2_code	lang3_code	lang4_code	lang5_code	lang6_code	lang7_code	lang1_name	lang2_name	lang3_name	lang4_name	lang5_name	lang6_name	lang7_name
Alabama	0.782918149	0.0233598	0.0215348	0.0189342	0.0159686	0.095446665	0.0418378	17160	512	472	415	350	2092	917	SPA	KOR	ARA	CHI	VIE			Spanish; Castilian	Korean	Arabic	Chinese	Vietnamese	Other languages	Missing
Alaska	0.406022011	0.114195623	0.092617782	0.078459256	0.073574873	0.235130456	0	6567	1847	1498	1269	1190	3803	0	YPK	SPA	FIL	IPK	SMO			Yupik languages	Spanish; Castilian	Filipino; Pilipino	Inupiaq	Samoan	Other languages	Missing
Arizona	0.732908414	0.174561721	0.0170011	0.0081579	0.00774422	0.0337824	0.0258442	56689	13502	1315	631	599	2613	1999	SPA	ENG	ARA	VIE	NAV			Spanish; Castilian	English	Arabic	Vietnamese	Navajo; Navaho	Missing	Other languages
Arkansas	0.814422619	0.0616297	0.0523641	0.0134219	0.0101392	0.0480224	0	30764	2328	1978	507	383	1814	0	SPA	MAH	ENG	VIE	LAO			Spanish; Castilian	Marshallese	English	Vietnamese	Lao	Other languages	Missing
California	0.837337008	0.0272613	0.0228631	0.0137119	0.0120543	0.077540292	0.0092321	1170464	38107	31959	19167	16850	108389	12905	SPA	CHI	VIE	TGL	ARA			Spanish; Castilian	Chinese	Vietnamese	Tagalog	Arabic	Other languages	Missing
Colorado	0.844956366	0.0154815	0.014605	0.0110038	0.0088888	0.105064594	0	88690	1625	1533	1155	933	11028	0	SPA	ARA	VIE	CHI	RUS			Spanish; Castilian	Arabic	Vietnamese	Chinese	Russian	Other languages	Missing
Connecticut	0.720121155	0.0335399	0.0289827	0.0264262	0.02148	0.169450079	0	25915	1207	1043	951	773	6098	0	SPA	POR	ARA	CHI	CPF			Spanish; Castilian	Portuguese	Arabic	Chinese	Creoles and pidgins, French-based (Other)	Other languages	Missing
Delaware	0.777633444	0.0358999	0.0166509	0.0160605	0.0149976	0.137104393	0.00165328	6585	304	141	136	127	1161	14	SPA	CRP	ARA	CHI	CPE			Spanish; Castilian	Creoles and pidgins (Other)	Arabic	Chinese	Creoles and pidgins, English based (Other)	Other languages	Missing
District of Columbia	0.816737831	0.0426985	0.024936	0.0162254	0.0100769	0.089325363	0	4782	250	146	95	59	523	0	SPA	AMH	FRE	CHI	VIE			Spanish; Castilian	Amharic	French	Chinese	Vietnamese	Other languages	Missing
Florida	0.741888796	0.083594816	0.065387753	0.0134219	0.0128061	0.082900579	0	189149	21313	16671	3422	3265	21136	0	SPA	HAT	ENG	POR	ARA			Spanish; Castilian	Haitian; Haitian Creole	English	Portuguese	Arabic	Other languages	Missing
Georgia	0.788727287	0.0595415	0.0234196	0.0168251	0.013065	0.098421515	0	82646	6239	2454	1763	1369	10313	0	SPA	ZXX	VIE	CHI	KOR			Spanish; Castilian	No linguistic content; Not applicable	Vietnamese	Chinese	Korean	Other languages	Missing
Hawaii	0.20065189	0.122164276	0.107366362	0.083833116	0.0576271	0.267666232	0.160691004	3078	1874	1647	1286	884	4106	2465	ILO	CHK	MAH	TGL	SPA			Iloko	Chuukese	Marshallese	Tagalog	Spanish; Castilian	Other languages	Missing
Idaho	0.84190312	0.0277473	0.0124628	0.0112087	0.0111303	0.095547892	0	10741	354	159	143	142	1219	0	SPA	ARA	SOM	SWA	NEP			Spanish; Castilian	Arabic	Somali	Swahili	Nepali	Other languages	Missing
Illinois	0.784194106	0.0318592	0.0307911	0.014864	0.0141039	0.124128132	0.000059615	157852	6413	6198	2992	2839	24986	12	SPA	ARA	POL	CHI	URD			Spanish; Castilian	Arabic	Polish	Chinese	Urdu	Other languages	Missing
Indiana	0.770659512	0.0489008	0.0243725	0.0226242	0.0154579	0.117985113	0	44521	2825	1408	1307	893	6816	0	SPA	BUR	GER	ARA	CHI			Spanish; Castilian	Burmese	German	Arabic	Chinese	Other languages	Missing
Iowa	0.672928709	0.0296428	0.0268638	0.0253817	0.0239366	0.22124648	0	18161	800	725	685	646	5971	0	SPA	VIE	ARA	BOS	KAR			Spanish; Castilian	Vietnamese	Arabic	Bosnian	Karen languages	Other languages	Missing
Kansas	0.808653137	0.0397417	0.029631	0.0260701	0.012214	0.083690037	0	43829	2154	1606	1413	662	4536	0	SPA	UND	ENG	VIE	CHI			Spanish; Castilian	Undetermined	English	Vietnamese	Chinese	Other languages	Missing
Kentucky	0.642140629	0.0476602	0.0288937	0.0218383	0.0214543	0.236861051	0.00115191	13379	993	602	455	447	4935	24	SPA	ARA	SOM	NEP	CHI			Spanish; Castilian	Arabic	Somali	Nepali	Chinese	Other languages	Missing
Louisiana	0.787247711	0.065742277	0.0533754	0.0192194	0.0119385	0.0580866	0.00438996	14705	1228	997	359	223	1085	82	SPA	VIE	ARA	CHI	FRE			Spanish; Castilian	Vietnamese	Arabic	Chinese	French	Other languages	Missing
Maine	0.324345296	0.129582929	0.09485936	0.091561591	0.0506305	0.271968962	0.0370514	1672	668	489	472	261	1402	191	SOM	ARA	SPA	FRE	ENG			Somali	Arabic	Spanish; Castilian	French	English	Other languages	Missing
Maryland	0.732015485	0.0275266	0.0268017	0.0168685	0.0153694	0.181418335	0	44437	1671	1627	1024	933	11013	0	SPA	FRE	CHI	AMH	VIE			Spanish; Castilian	French	Chinese	Amharic	Vietnamese	Other languages	Missing
Massachusetts	0.551170279	0.072864034	0.0504512	0.0483766	0.0435021	0.23363582	0	43306	5725	3964	3801	3418	18357	0	SPA	POR	CHI	HAT	CPP			Spanish; Castilian	Portuguese	Chinese	Haitian; Haitian Creole	Creoles and pidgins, Portuguese-based (Other)	Other languages	Missing
Michigan	0.433423059	0.263082378	0.0266569	0.0217951	0.0192337	0.235808896	0	36551	22186	2248	1838	1622	19886	0	SPA	ARA	BEN	ALB	CHI			Spanish; Castilian	Arabic	Bengali	Albanian	Chinese	Other languages	Missing
Minnesota	0.396004367	0.179023636	0.178896026	0.0422108	0.0232677	0.180597502	0	27929	12626	12617	2977	1641	12737	0	SPA	SOM	HMN	KAR	VIE			Spanish; Castilian	Somali	Hmong	Karen languages	Vietnamese	Other languages	Missing
Mississippi	0.843644299	0.0356792	0.0302237	0.021713	0.0619749	0.00676487		7732	327	277	199	568	62		SPA	ARA	VIE	CHI		GUJ		Spanish; Castilian	Arabic	Vietnamese	Chinese	Missing	Gujarati
Missouri	0.558606924	0.0490743	0.0444628	0.0420882	0.0368573	0.267809209	0.00110125	16232	1426	1292	1223	1071	7782	32	SPA	ARA	ENG	BOS	VIE			Spanish; Castilian	Arabic	English	Bosnian	Vietnamese	Other languages	Missing
Montana	0.770404984	0.099376947	0.05919	0.0277259	0.0115265	0.0317757	0	2473	319	190	89	37	102	0	ENG	GER	SPA	NAI	RUS			English	German	Spanish; Castilian	North American Indian	Russian	Other languages	Missing
Nebraska	0.718228212	0.069266214	0.0374573	0.0199178	0.0189268	0.136203736	0	14496	1398	756	402	382	2749	0	SPA	KAR	ARA	SOM	VIE			Spanish; Castilian	Karen languages	Arabic	Somali	Vietnamese	Other languages	Missing
Nevada	0.633199031	0.0259363	0.0127998	0.0090298	0.0086023	0.307984298	0.00244854	48876	2002	988	697	664	23773	189	SPA	FIL	TGL	CHI	VIE			Spanish; Castilian	Filipino; Pilipino	Tagalog	Chinese	Vietnamese	Missing	Other languages
New Hampshire	0.399178942	0.080415359	0.06834098	0.0446752	0.0359816	0.365612171	0.0057957	1653	333	283	185	149	1514	24	SPA	NEP	ARA	CHI	VIE			Spanish; Castilian	Nepali	Arabic	Chinese	Vietnamese	Other languages	Missing
New Jersey	0.702073374	0.0349628	0.0202291	0.017173	0.0171309	0.148907238	0.0595236	50081	2494	1443	1225	1222	10622	4246	SPA	ARA	CHI	POR	KOR			Spanish; Castilian	Arabic	Chinese	Portuguese	Korean	Other languages	Missing
New Mexico	0.713388702	0.120345851	0.108329321	0.0207431	0.0121369	0.0250562	0	35561	5999	5400	1034	605	1249	0	SPA	NAV	ENG	NIA	CAU			Spanish; Castilian	Navajo; Navaho	English	Nias	Caucasian (Other)	Other languages	Missing
New York	0.626869991	0.101729325	0.0417978	0.0379992	0.0287394	0.162864295	0	136479	22148	9100	8273	6257	35458	0	SPA	CHI	ENG	ARA	BEN			Spanish; Castilian	Chinese	English	Arabic	Bengali	Other languages	Missing
North Carolina	0.846988225	0.0201885	0.0137855	0.0117955	0.0096406	0.097581094	0.000020622	82146	1958	1337	1144	935	9464	2	SPA	ARA	CHI	VIE	HMN			Spanish; Castilian	Arabic	Chinese	Vietnamese	Hmong	Other languages	Missing
North Dakota	0.299156392	0.137897469	0.129461389	0.0467229	0.036989	0.347501622	0.00227125	922	425	399	144	114	1071	7	SPA	SOM	NEP	ARA	BOS			Spanish; Castilian	Somali	Nepali	Arabic	Bosnian	Other languages	Missing
Ohio	0.38121547	0.143020953	0.0725946	0.065818826	0.0209528	0.188512457	0.127884916	18285	6860	3482	3157	1005	9042	6134	SPA	ENG	SOM	ARA	CHI			Spanish; Castilian	English	Somali	Arabic	Chinese	Other languages	Missing
Oklahoma	0.853112542	0.0180926	0.0163184	0.0137337	0.0108862	0.087856486	0	38948	826	745	627	497	4011	0	SPA	VIE	CHR	BUR	HMN			Spanish; Castilian	Vietnamese	Cherokee	Burmese	Hmong	Other languages	Missing
Oregon	0.785385175	0.0333643	0.0261094	0.0212998	0.015217	0.109328268	0.0092959	38864	1651	1292	1054	753	5410	460	SPA	RUS	VIE	ENG	CHI			Spanish; Castilian	Russian	Vietnamese	English	Chinese	Other languages	Missing
