chart	subchart	chartlevel	level	group	num	pct	group1_p	group2_p	diff_ppt	group1_n	group2_n	order	definition
1-1			ELs	Enrolled in districts that provided preschool	3272378	0.928168826						1
1-1			Non-ELs	Enrolled in districts that provided preschool	19354806	0.88732879						1
1-1			ELs	Enrolled in districts that provided free preschool	3118900	0.884636723						2
1-1			Non-ELs	Enrolled in districts that provided free preschool	17824476	0.817170202						2
1-1			ELs	Enrolled in districts that provided full-day preschool	2233416	0.633480333						3
1-1			Non-ELs	Enrolled in districts that provided full-day preschool	12720952	0.583197111						3
1-2			Enrolled in preschool	ELs	195305	0.158024621
1-2			Enrolled in preschool	Non-ELs	1361646	0.213602419
2-1		Algebra I	ELs	Enrolled in schools offering Algebra I	741329	0.647765719						1
2-1		Algebra I	Non-ELs	Enrolled in schools offering Algebra I	9607036	0.723915752						1
2-1		Algebra I	ELs	Enrolled in Algebra I	27586	0.024128041						2
2-1		Algebra I	Non-ELs	Enrolled in Algebra I	897144	0.067608258						2
2-1		Physics	ELs	Enrolled in schools offering Physics	769059	0.814382652						1
2-1		Physics	Non-ELs	Enrolled in schools offering Physics	13407264	0.851068325						1
2-1		Physics	ELs	Enrolled in Physics	69670	0.073887577						2
2-1		Physics	Non-ELs	Enrolled in Physics	1527068	0.096935877						2
2-1		Chemistry	ELs	Enrolled in schools offering Chemistry	832001	0.88103407						1
2-1		Chemistry	Non-ELs	Enrolled in schools offering Chemistry	14564112	0.924502896						1
2-1		Chemistry	ELs	Enrolled in Chemistry	115173	0.122096869						2
2-1		Chemistry	Non-ELs	Enrolled in Chemistry	2798695	0.177662919						2
2-1		Calculus	ELs	Enrolled in schools offering Calculus	711955	0.75391329						1
2-1		Calculus	Non-ELs	Enrolled in schools offering Calculus	12499565	0.793449271						1
2-1		Calculus	ELs	Enrolled in Calculus	10342	0.010957366						2
2-1		Calculus	Non-ELs	Enrolled in Calculus	682222	0.043306199						2
2-2			Algebra I	Low EL concentration schools	8276	0.699813969						1	>0% to <5% ELs
2-2			Algebra I	Medium EL concentration schools	4004	0.617805894						2	5% to <20% ELs
2-2			Algebra I	High EL concentration schools	1543	0.484762802						3	20% or more ELs
2-2			Algebra I	Schools with no ELs	3545	0.429124803						4
2-2			Algebra I	All schools	17368	0.583778697						5
2-2			Physics	Low EL concentration schools	8295	0.761707989						1	>0% to <5% ELs
2-2			Physics	Medium EL concentration schools	3032	0.608102688						2	5% to <20% ELs
2-2			Physics	High EL concentration schools	830	0.450597177						3	20% or more ELs
2-2			Physics	Schools with no ELs	3776	0.440555361						4
2-2			Physics	All schools	15933	0.60607098						5
2-2			Chemistry	Low EL concentration schools	9534	0.875482094						1	>0% to <5% ELs
2-2			Chemistry	Medium EL concentration schools	3592	0.720417168						2	5% to <20% ELs
2-2			Chemistry	High EL concentration schools	1027	0.557546145						3	20% or more ELs
2-2			Chemistry	Schools with no ELs	5156	0.601563412						4
2-2			Chemistry	All schools	19309	0.734489711						5
2-2			Calculus	Low EL concentration schools	7369	0.676675849						1	>0% to <5% ELs
2-2			Calculus	Medium EL concentration schools	2494	0.500200562						2	5% to <20% ELs
2-2			Calculus	High EL concentration schools	616	0.33441911						3	20% or more ELs
2-2			Calculus	Schools with no ELs	2791	0.325632948						4
2-2			Calculus	All schools	13270	0.50477386						5
2-3				Algebra I			0.02983141	0.071544786	4.171337529	27586	740206	1
2-3				Physics			0.043632706	0.054154594	1.052188774	69670	767632	2
2-3				Chemistry			0.039525812	0.053977071	1.445125878	115173	830947	3
2-3				Calculus			0.014932916	0.053852729	3.891981342	10342	711449	4
3-1			Dual enrollment	Low EL concentration schools	7490	0.687786961						1	>0% to <5% ELs
3-1			Dual enrollment	Medium EL concentration schools	2308	0.462896109						2	5% to <20% ELs
3-1			Dual enrollment	High EL concentration schools	638	0.346362649						3	20% or more ELs
3-1			Dual enrollment	Schools with no ELs	3922	0.457589546						4
3-1			Dual enrollment	All schools	14358	0.546159991						5
3-2			Enrolled in schools that offer dual enrollment	ELs	568912	0.602440207						2
3-2			Enrolled in schools that offer dual enrollment	Non-ELs	11105114	0.7049321						3
